nx,ny,threadsPerBlock,repetition,time(s),iterations
1000,1000,1,1,4.16694,695
1000,1000,1,2,4.16397,695
1000,1000,1,3,4.20397,695
1000,1000,2,1,2.16047,695
1000,1000,2,2,2.16086,695
1000,1000,2,3,2.16117,695
1000,1000,4,1,1.33108,695
1000,1000,4,2,1.32733,695
1000,1000,4,3,1.32791,695
1000,1000,8,1,1.04477,695
1000,1000,8,2,1.04861,695
1000,1000,8,3,1.04731,695
1000,1000,16,1,0.857401,695
1000,1000,16,2,0.856577,695
1000,1000,16,3,0.857322,695
1000,1000,32,1,0.72332,695
1000,1000,32,2,0.724109,695
1000,1000,32,3,0.721161,695
1000,1000,64,1,0.651321,695
1000,1000,64,2,0.649812,695
1000,1000,64,3,0.648896,695
1000,1000,128,1,0.635863,695
1000,1000,128,2,0.633175,695
1000,1000,128,3,0.634303,695
1000,1000,192,1,0.629912,695
1000,1000,192,2,0.629637,695
1000,1000,192,3,0.629552,695
1000,1000,256,1,0.651173,695
1000,1000,256,2,0.616284,695
1000,1000,256,3,0.618018,695
1000,1000,384,1,0.615555,695
1000,1000,384,2,0.617609,695
1000,1000,384,3,0.617508,695
1000,1000,512,1,0.598499,695
1000,1000,512,2,0.595368,695
1000,1000,512,3,0.596807,695
1000,1000,640,1,0.603803,695
1000,1000,640,2,0.636237,695
1000,1000,640,3,0.604011,695
1000,1000,768,1,0.601069,695
1000,1000,768,2,0.598504,695
1000,1000,768,3,0.59922,695
1000,1000,896,1,0.579008,695
1000,1000,896,2,0.579012,695
1000,1000,896,3,0.57883,695
1000,1000,1024,1,0.57408,695
1000,1000,1024,2,0.576312,695
1000,1000,1024,3,0.573442,695
