nx,ny,threadsPerBlock,repetition,time(s),iterations
200,200,1,1,0.106511,183
200,200,1,2,0.0972043,183
200,200,1,3,0.0965173,183
200,200,2,1,0.0700551,183
200,200,2,2,0.0704959,183
200,200,2,3,0.0710759,183
200,200,4,1,0.0669201,183
200,200,4,2,0.0667733,183
200,200,4,3,0.0653651,183
200,200,8,1,0.0540544,183
200,200,8,2,0.054127,183
200,200,8,3,0.0543474,183
200,200,16,1,0.052089,183
200,200,16,2,0.0574889,183
200,200,16,3,0.0527704,183
200,200,32,1,0.0537008,183
200,200,32,2,0.0567466,183
200,200,32,3,0.0494465,183
200,200,64,1,0.0500999,183
200,200,64,2,0.0535299,183
200,200,64,3,0.0532243,183
200,200,128,1,0.0653809,183
200,200,128,2,0.0507542,183
200,200,128,3,0.0531112,183
200,200,192,1,0.0517402,183
200,200,192,2,0.0488726,183
200,200,192,3,0.0670909,183
200,200,256,1,0.0486923,183
200,200,256,2,0.050184,183
200,200,256,3,0.0517775,183
200,200,384,1,0.051486,183
200,200,384,2,0.0636331,183
200,200,384,3,0.053076,183
200,200,512,1,0.0532468,183
200,200,512,2,0.0523408,183
200,200,512,3,0.0491271,183
200,200,640,1,0.0596013,183
200,200,640,2,0.0779953,183
200,200,640,3,0.0541425,183
200,200,768,1,0.053535,183
200,200,768,2,0.0526664,183
200,200,768,3,0.0695898,183
200,200,896,1,0.0490025,182
200,200,896,2,0.0537517,182
200,200,896,3,0.0490265,182
200,200,1024,1,0.0549007,183
200,200,1024,2,0.0693135,183
200,200,1024,3,0.0494367,183
