nx,ny,threadsPerBlock,repetition,time(s),iterations
100,100,1,1,0.160165,260
100,100,1,2,0.0867041,260
100,100,1,3,0.0802502,260
100,100,2,1,0.065651,260
100,100,2,2,0.0644177,260
100,100,2,3,0.0659971,260
100,100,4,1,0.0587116,260
100,100,4,2,0.0584228,260
100,100,4,3,0.0571053,260
100,100,8,1,0.0664173,260
100,100,8,2,0.0532523,260
100,100,8,3,0.0537193,260
100,100,16,1,0.0520039,260
100,100,16,2,0.0530811,260
100,100,16,3,0.0524105,260
100,100,32,1,0.0612392,260
100,100,32,2,0.059347,260
100,100,32,3,0.0583008,260
100,100,64,1,0.0584212,260
100,100,64,2,0.052505,260
100,100,64,3,0.05027,260
100,100,128,1,0.0523853,260
100,100,128,2,0.101393,260
100,100,128,3,0.051339,260
100,100,192,1,0.0531171,260
100,100,192,2,0.0507024,260
100,100,192,3,0.0998521,260
100,100,256,1,0.0509379,260
100,100,256,2,0.0520403,260
100,100,256,3,0.0512733,260
100,100,384,1,0.0505346,260
100,100,384,2,0.0782159,260
100,100,384,3,0.0504869,260
100,100,512,1,0.0504549,260
100,100,512,2,0.0512107,260
100,100,512,3,0.0516766,260
100,100,640,1,0.05009,260
100,100,640,2,0.109651,260
100,100,640,3,0.0497456,260
100,100,768,1,0.0506038,260
100,100,768,2,0.0500694,260
100,100,768,3,0.0742776,260
100,100,896,1,0.0976105,260
100,100,896,2,0.0510256,260
100,100,896,3,0.0490867,260
100,100,1024,1,0.0502012,260
100,100,1024,2,0.0602443,260
100,100,1024,3,0.0514415,260
