nx,ny,threadsPerBlock,repetition,time(s),iterations
500,500,1,1,2.30909,1398
500,500,1,2,2.3085,1398
500,500,1,3,2.24065,1398
500,500,2,1,1.27335,1398
500,500,2,2,1.30106,1398
500,500,2,3,1.24232,1398
500,500,4,1,0.826093,1398
500,500,4,2,0.86227,1398
500,500,4,3,0.82544,1398
500,500,8,1,0.660193,1398
500,500,8,2,0.660681,1398
500,500,8,3,0.660138,1398
500,500,16,1,0.575885,1398
500,500,16,2,0.56903,1398
500,500,16,3,0.575972,1398
500,500,32,1,0.448989,1398
500,500,32,2,0.449935,1398
500,500,32,3,0.449544,1398
500,500,64,1,0.420485,1398
500,500,64,2,0.422297,1398
500,500,64,3,0.424077,1398
500,500,128,1,0.423438,1398
500,500,128,2,0.423633,1398
500,500,128,3,0.424494,1398
500,500,192,1,0.430573,1397
500,500,192,2,0.431536,1397
500,500,192,3,0.428561,1397
500,500,256,1,0.404757,1398
500,500,256,2,0.404285,1398
500,500,256,3,0.402777,1398
500,500,384,1,0.39845,1397
500,500,384,2,0.400907,1397
500,500,384,3,0.398643,1397
500,500,512,1,0.384348,1398
500,500,512,2,0.386792,1398
500,500,512,3,0.383136,1398
500,500,640,1,0.391967,1397
500,500,640,2,0.392108,1397
500,500,640,3,0.391609,1397
500,500,768,1,0.383144,1397
500,500,768,2,0.3831,1397
500,500,768,3,0.382204,1397
500,500,896,1,0.351396,1397
500,500,896,2,0.354097,1397
500,500,896,3,0.351446,1397
500,500,1024,1,0.355671,1398
500,500,1024,2,0.355465,1398
500,500,1024,3,0.355288,1398
