nx,ny,threadsPerBlock,repetition,time(s),iterations
1500,1500,1,1,56.9831,4383
1500,1500,1,2,57.1236,4383
1500,1500,1,3,56.8769,4383
1500,1500,2,1,29.0924,4383
1500,1500,2,2,29.4978,4383
1500,1500,2,3,29.6769,4383
1500,1500,4,1,17.6198,4383
1500,1500,4,2,18.0384,4383
1500,1500,4,3,18.1883,4383
1500,1500,8,1,13.6428,4383
1500,1500,8,2,13.642,4383
1500,1500,8,3,13.6362,4383
1500,1500,16,1,10.1796,4383
1500,1500,16,2,10.1807,4383
1500,1500,16,3,10.479,4383
1500,1500,32,1,8.28138,4383
1500,1500,32,2,8.25882,4383
1500,1500,32,3,8.36186,4383
1500,1500,64,1,7.33802,4383
1500,1500,64,2,7.32724,4383
1500,1500,64,3,7.33263,4383
1500,1500,128,1,6.90152,4383
1500,1500,128,2,6.87667,4383
1500,1500,128,3,6.87766,4383
1500,1500,192,1,6.74054,4371
1500,1500,192,2,6.74977,4371
1500,1500,192,3,6.75892,4371
1500,1500,256,1,6.64356,4383
1500,1500,256,2,6.6393,4383
1500,1500,256,3,6.64479,4383
1500,1500,384,1,6.69973,4373
1500,1500,384,2,6.63418,4373
1500,1500,384,3,6.62806,4373
1500,1500,512,1,6.4788,4383
1500,1500,512,2,6.47954,4383
1500,1500,512,3,6.49356,4383
1500,1500,640,1,6.57497,4383
1500,1500,640,2,6.56834,4383
1500,1500,640,3,6.58201,4383
1500,1500,768,1,6.50034,4382
1500,1500,768,2,6.48849,4382
1500,1500,768,3,6.54283,4382
1500,1500,896,1,6.38083,4382
1500,1500,896,2,6.2911,4382
1500,1500,896,3,6.39978,4382
1500,1500,1024,1,6.22064,4383
1500,1500,1024,2,6.24157,4383
1500,1500,1024,3,6.22217,4383
