nx,ny,threadsPerBlock,repetition,time(s),iterations
500,500,1,1,0.994775,484
500,500,1,2,0.959138,484
500,500,1,3,0.997908,484
500,500,2,1,0.9202,484
500,500,2,2,0.684026,484
500,500,2,3,0.642974,484
500,500,4,1,0.502161,484
500,500,4,2,0.541672,484
500,500,4,3,0.548631,484
500,500,8,1,0.485736,484
500,500,8,2,0.441196,484
500,500,8,3,0.432186,484
500,500,16,1,0.474989,484
500,500,16,2,0.42593,484
500,500,16,3,0.481401,484
500,500,32,1,0.395319,484
500,500,32,2,0.362537,484
500,500,32,3,0.450754,484
500,500,64,1,0.751484,484
500,500,64,2,0.465547,484
500,500,64,3,0.380546,484
500,500,128,1,0.396922,484
500,500,128,2,0.595032,484
500,500,128,3,0.46879,484
500,500,192,1,0.428243,484
500,500,192,2,0.39186,484
500,500,192,3,0.403689,484
500,500,256,1,0.382442,484
500,500,256,2,0.349913,484
500,500,256,3,0.33815,484
500,500,384,1,0.345394,483
500,500,384,2,0.551177,483
500,500,384,3,0.354725,483
500,500,512,1,0.364051,484
500,500,512,2,0.312233,484
500,500,512,3,0.338462,484
500,500,640,1,0.330909,484
500,500,640,2,0.31484,484
500,500,640,3,0.380725,484
500,500,768,1,0.315083,483
500,500,768,2,0.311526,483
500,500,768,3,0.315107,483
500,500,896,1,0.323983,483
500,500,896,2,0.347017,483
500,500,896,3,0.299523,483
500,500,1024,1,0.316531,484
500,500,1024,2,0.327574,484
500,500,1024,3,0.328172,484
