nx,ny,threadsPerBlock,repetition,time(s),iterations
100,100,1,1,0.0528746,260
100,100,1,2,0.0510445,260
100,100,1,3,0.0510919,260
100,100,2,1,0.0348577,260
100,100,2,2,0.0346851,260
100,100,2,3,0.0346104,260
100,100,4,1,0.0291049,260
100,100,4,2,0.0295818,260
100,100,4,3,0.0293639,260
100,100,8,1,0.0265366,260
100,100,8,2,0.0266445,260
100,100,8,3,0.0266726,260
100,100,16,1,0.0246563,260
100,100,16,2,0.0246819,260
100,100,16,3,0.0245202,260
100,100,32,1,0.0245903,260
100,100,32,2,0.0246588,260
100,100,32,3,0.0245488,260
100,100,64,1,0.0228374,260
100,100,64,2,0.0229711,260
100,100,64,3,0.0227396,260
100,100,128,1,0.0227851,260
100,100,128,2,0.0228947,260
100,100,128,3,0.0228833,260
100,100,192,1,0.0241155,260
100,100,192,2,0.0229132,260
100,100,192,3,0.0230147,260
100,100,256,1,0.0230286,260
100,100,256,2,0.0230045,260
100,100,256,3,0.0228507,260
100,100,384,1,0.0232115,260
100,100,384,2,0.023161,260
100,100,384,3,0.0235526,260
100,100,512,1,0.0232974,260
100,100,512,2,0.0234526,260
100,100,512,3,0.0236041,260
100,100,640,1,0.0236442,260
100,100,640,2,0.0236817,260
100,100,640,3,0.0236244,260
100,100,768,1,0.023852,260
100,100,768,2,0.0239863,260
100,100,768,3,0.0238107,260
100,100,896,1,0.0240315,260
100,100,896,2,0.0239157,260
100,100,896,3,0.0240616,260
100,100,1024,1,0.0242384,260
100,100,1024,2,0.0244069,260
100,100,1024,3,0.0242326,260
