nx,ny,threadsPerBlock,repetition,time(s),iterations
200,200,1,1,0.185179,537
200,200,1,2,0.185746,537
200,200,1,3,0.184446,537
200,200,2,1,0.10588,537
200,200,2,2,0.106164,537
200,200,2,3,0.106288,537
200,200,4,1,0.0777844,537
200,200,4,2,0.0775301,537
200,200,4,3,0.0780794,537
200,200,8,1,0.0610385,537
200,200,8,2,0.0609003,537
200,200,8,3,0.0610803,537
200,200,16,1,0.0558826,537
200,200,16,2,0.0562654,537
200,200,16,3,0.0564314,537
200,200,32,1,0.0502921,537
200,200,32,2,0.0506331,537
200,200,32,3,0.0507092,537
200,200,64,1,0.0501326,537
200,200,64,2,0.0502278,537
200,200,64,3,0.0495191,537
200,200,128,1,0.0464402,537
200,200,128,2,0.0469549,537
200,200,128,3,0.0467425,537
200,200,192,1,0.0472085,537
200,200,192,2,0.0473295,537
200,200,192,3,0.0472305,537
200,200,256,1,0.0467854,537
200,200,256,2,0.0469845,537
200,200,256,3,0.0473047,537
200,200,384,1,0.0476854,537
200,200,384,2,0.0474758,537
200,200,384,3,0.0478202,537
200,200,512,1,0.0474195,537
200,200,512,2,0.0471963,537
200,200,512,3,0.0467907,537
200,200,640,1,0.0478043,537
200,200,640,2,0.0477222,537
200,200,640,3,0.0475104,537
200,200,768,1,0.0476852,537
200,200,768,2,0.0479487,537
200,200,768,3,0.0480481,537
200,200,896,1,0.0481119,536
200,200,896,2,0.048206,536
200,200,896,3,0.0484339,536
200,200,1024,1,0.0490351,537
200,200,1024,2,0.0488166,537
200,200,1024,3,0.0493192,537
