nx,ny,threadsPerBlock,repetition,time(s),iterations
100,100,1,1,0.0556762,88
100,100,1,2,0.0326478,88
100,100,1,3,0.0354988,88
100,100,2,1,0.0294998,88
100,100,2,2,0.0289041,88
100,100,2,3,0.0280228,88
100,100,4,1,0.0257186,88
100,100,4,2,0.0238246,88
100,100,4,3,0.0247339,88
100,100,8,1,0.0230173,88
100,100,8,2,0.0245942,88
100,100,8,3,0.0234769,88
100,100,16,1,0.0224984,88
100,100,16,2,0.0231943,88
100,100,16,3,0.0224332,88
100,100,32,1,0.0230024,88
100,100,32,2,0.0230905,88
100,100,32,3,0.0229257,88
100,100,64,1,0.0216214,88
100,100,64,2,0.0421511,88
100,100,64,3,0.0213219,88
100,100,128,1,0.0216489,88
100,100,128,2,0.0214054,88
100,100,128,3,0.0213069,88
100,100,192,1,0.0318237,87
100,100,192,2,0.022523,87
100,100,192,3,0.02284,87
100,100,256,1,0.0216868,88
100,100,256,2,0.0216953,88
100,100,256,3,0.0315154,88
100,100,384,1,0.0217094,87
100,100,384,2,0.0213202,87
100,100,384,3,0.0218532,87
100,100,512,1,0.0218905,88
100,100,512,2,0.030327,88
100,100,512,3,0.0215474,88
100,100,640,1,0.0222887,87
100,100,640,2,0.0225444,87
100,100,640,3,0.0229849,87
100,100,768,1,0.0308543,87
100,100,768,2,0.0222977,87
100,100,768,3,0.0232515,87
100,100,896,1,0.0223081,87
100,100,896,2,0.0236662,87
100,100,896,3,0.0282931,87
100,100,1024,1,0.0232467,88
100,100,1024,2,0.023923,88
100,100,1024,3,0.0230042,88
