nx,ny,threadsPerBlock,repetition,time(s),iterations
100,100,1,1,0.0149975,70
100,100,1,2,0.0146425,70
100,100,1,3,0.0149843,70
100,100,2,1,0.0103426,70
100,100,2,2,0.0103484,70
100,100,2,3,0.0103123,70
100,100,4,1,0.00887124,70
100,100,4,2,0.00881697,70
100,100,4,3,0.00889275,70
100,100,8,1,0.00841004,70
100,100,8,2,0.00817367,70
100,100,8,3,0.00809046,70
100,100,16,1,0.00757044,70
100,100,16,2,0.00755709,70
100,100,16,3,0.00803487,70
100,100,32,1,0.00758489,70
100,100,32,2,0.00748586,70
100,100,32,3,0.0074694,70
100,100,64,1,0.00723567,70
100,100,64,2,0.00716268,70
100,100,64,3,0.00721969,70
100,100,128,1,0.00711225,70
100,100,128,2,0.00712322,70
100,100,128,3,0.00715493,70
100,100,192,1,0.0071979,70
100,100,192,2,0.00710802,70
100,100,192,3,0.00756478,70
100,100,256,1,0.00721055,70
100,100,256,2,0.0071371,70
100,100,256,3,0.00711425,70
100,100,384,1,0.00717725,70
100,100,384,2,0.0072738,70
100,100,384,3,0.00722992,70
100,100,512,1,0.00721257,70
100,100,512,2,0.00764461,70
100,100,512,3,0.00732906,70
100,100,640,1,0.00761907,70
100,100,640,2,0.00722913,70
100,100,640,3,0.00731194,70
100,100,768,1,0.00738396,70
100,100,768,2,0.00740285,70
100,100,768,3,0.0073614,70
100,100,896,1,0.0073792,70
100,100,896,2,0.00737776,70
100,100,896,3,0.00743181,70
100,100,1024,1,0.00752769,70
100,100,1024,2,0.00748639,70
100,100,1024,3,0.00749288,70
