nx,ny,threadsPerBlock,repetition,time(s),iterations
1000,1000,1,1,17.331,2878
1000,1000,1,2,17.3726,2878
1000,1000,1,3,17.3893,2878
1000,1000,2,1,9.15269,2878
1000,1000,2,2,9.11531,2878
1000,1000,2,3,8.92755,2878
1000,1000,4,1,5.57945,2878
1000,1000,4,2,5.6225,2878
1000,1000,4,3,5.66378,2878
1000,1000,8,1,4.35518,2878
1000,1000,8,2,4.34544,2878
1000,1000,8,3,4.36475,2878
1000,1000,16,1,3.51709,2878
1000,1000,16,2,3.52448,2878
1000,1000,16,3,3.52022,2878
1000,1000,32,1,2.94537,2878
1000,1000,32,2,2.94852,2878
1000,1000,32,3,2.93776,2878
1000,1000,64,1,2.65232,2878
1000,1000,64,2,2.65261,2878
1000,1000,64,3,2.66599,2878
1000,1000,128,1,2.58537,2878
1000,1000,128,2,2.58695,2878
1000,1000,128,3,2.58381,2878
1000,1000,192,1,2.5547,2867
1000,1000,192,2,2.55192,2867
1000,1000,192,3,2.55111,2867
1000,1000,256,1,2.50683,2878
1000,1000,256,2,2.50197,2878
1000,1000,256,3,2.50332,2878
1000,1000,384,1,2.50715,2878
1000,1000,384,2,2.50221,2878
1000,1000,384,3,2.51645,2878
1000,1000,512,1,2.41683,2878
1000,1000,512,2,2.41267,2878
1000,1000,512,3,2.41975,2878
1000,1000,640,1,2.44675,2878
1000,1000,640,2,2.4537,2878
1000,1000,640,3,2.45191,2878
1000,1000,768,1,2.51023,2878
1000,1000,768,2,2.44505,2878
1000,1000,768,3,2.44641,2878
1000,1000,896,1,2.35191,2878
1000,1000,896,2,2.35881,2878
1000,1000,896,3,2.35584,2878
1000,1000,1024,1,2.32913,2878
1000,1000,1024,2,2.32937,2878
1000,1000,1024,3,2.33199,2878
