nx,ny,threadsPerBlock,repetition,time(s),iterations
1000,1000,1,1,8.1169,999
1000,1000,1,2,8.80188,999
1000,1000,1,3,8.33736,999
1000,1000,2,1,5.41202,999
1000,1000,2,2,5.35119,999
1000,1000,2,3,5.30646,999
1000,1000,4,1,4.09676,999
1000,1000,4,2,4.24226,999
1000,1000,4,3,4.36568,999
1000,1000,8,1,3.61769,999
1000,1000,8,2,3.63792,999
1000,1000,8,3,3.71494,999
1000,1000,16,1,3.72529,999
1000,1000,16,2,3.48296,999
1000,1000,16,3,3.44003,999
1000,1000,32,1,3.34059,999
1000,1000,32,2,3.46814,999
1000,1000,32,3,3.32702,999
1000,1000,64,1,3.45542,999
1000,1000,64,2,3.39066,999
1000,1000,64,3,3.18163,999
1000,1000,128,1,3.56504,999
1000,1000,128,2,3.23514,999
1000,1000,128,3,3.19965,999
1000,1000,192,1,3.24612,998
1000,1000,192,2,3.21905,998
1000,1000,192,3,3.19528,998
1000,1000,256,1,3.03802,999
1000,1000,256,2,3.01712,999
1000,1000,256,3,3.05319,999
1000,1000,384,1,3.07483,998
1000,1000,384,2,3.24527,998
1000,1000,384,3,3.32225,998
1000,1000,512,1,2.95356,999
1000,1000,512,2,3.10867,999
1000,1000,512,3,3.1565,999
1000,1000,640,1,2.79334,998
1000,1000,640,2,3.21491,998
1000,1000,640,3,3.04071,998
1000,1000,768,1,2.9826,998
1000,1000,768,2,2.90682,998
1000,1000,768,3,2.89257,998
1000,1000,896,1,2.90465,997
1000,1000,896,2,2.79462,997
1000,1000,896,3,2.89709,997
1000,1000,1024,1,3.42695,999
1000,1000,1024,2,3.72797,999
1000,1000,1024,3,2.77453,999
