nx,ny,threadsPerBlock,repetition,time(s),iterations
200,200,1,1,0.729757,537
200,200,1,2,0.274748,537
200,200,1,3,0.279411,537
200,200,2,1,0.194753,537
200,200,2,2,0.180339,537
200,200,2,3,0.179396,537
200,200,4,1,0.164846,537
200,200,4,2,0.152279,537
200,200,4,3,0.165435,537
200,200,8,1,0.162474,537
200,200,8,2,0.152922,537
200,200,8,3,0.147505,537
200,200,16,1,0.129389,537
200,200,16,2,0.120461,537
200,200,16,3,0.130698,537
200,200,32,1,0.123683,537
200,200,32,2,0.126401,537
200,200,32,3,0.124213,537
200,200,64,1,0.136451,537
200,200,64,2,0.160648,537
200,200,64,3,0.13419,537
200,200,128,1,0.126908,537
200,200,128,2,0.129666,537
200,200,128,3,0.122308,537
200,200,192,1,0.124966,537
200,200,192,2,0.124087,537
200,200,192,3,0.120734,537
200,200,256,1,0.125118,537
200,200,256,2,0.128335,537
200,200,256,3,0.117863,537
200,200,384,1,0.12011,537
200,200,384,2,0.360618,537
200,200,384,3,0.121328,537
200,200,512,1,0.118694,537
200,200,512,2,0.128421,537
200,200,512,3,0.119847,537
200,200,640,1,0.174011,537
200,200,640,2,0.13216,537
200,200,640,3,0.121584,537
200,200,768,1,0.120164,537
200,200,768,2,0.135951,537
200,200,768,3,0.120304,537
200,200,896,1,0.120229,536
200,200,896,2,0.163786,536
200,200,896,3,0.133934,536
200,200,1024,1,0.122185,537
200,200,1024,2,0.134474,537
200,200,1024,3,0.128992,537
