nx,ny,threadsPerBlock,repetition,time(s),iterations
100,100,1,1,0.037924,70
100,100,1,2,0.0288937,70
100,100,1,3,0.0259089,70
100,100,2,1,0.0226236,70
100,100,2,2,0.0220538,70
100,100,2,3,0.0225555,70
100,100,4,1,0.021804,70
100,100,4,2,0.0198838,70
100,100,4,3,0.021151,70
100,100,8,1,0.0197007,70
100,100,8,2,0.0199082,70
100,100,8,3,0.0192007,70
100,100,16,1,0.0192965,70
100,100,16,2,0.0404865,70
100,100,16,3,0.0188202,70
100,100,32,1,0.0183939,70
100,100,32,2,0.0185014,70
100,100,32,3,0.0219835,70
100,100,64,1,0.0199585,70
100,100,64,2,0.0199344,70
100,100,64,3,0.0182356,70
100,100,128,1,0.0197937,70
100,100,128,2,0.0212338,70
100,100,128,3,0.0180247,70
100,100,192,1,0.0192685,70
100,100,192,2,0.0192312,70
100,100,192,3,0.0179917,70
100,100,256,1,0.0200916,70
100,100,256,2,0.0280984,70
100,100,256,3,0.0260391,70
100,100,384,1,0.0201146,70
100,100,384,2,0.0185032,70
100,100,384,3,0.0181687,70
100,100,512,1,0.0181337,70
100,100,512,2,0.0289961,70
100,100,512,3,0.0196527,70
100,100,640,1,0.0198136,70
100,100,640,2,0.0184112,70
100,100,640,3,0.0200636,70
100,100,768,1,0.0438762,70
100,100,768,2,0.0192821,70
100,100,768,3,0.0183652,70
100,100,896,1,0.0193223,70
100,100,896,2,0.0192401,70
100,100,896,3,0.0306353,70
100,100,1024,1,0.0184943,70
100,100,1024,2,0.0186294,70
100,100,1024,3,0.0184472,70
