nx,ny,threadsPerBlock,repetition,time(s),iterations
500,500,1,1,0.75246,347
500,500,1,2,0.728553,347
500,500,1,3,0.740505,347
500,500,2,1,0.449288,347
500,500,2,2,0.46754,347
500,500,2,3,0.480202,347
500,500,4,1,0.383698,347
500,500,4,2,0.441535,347
500,500,4,3,0.39643,347
500,500,8,1,0.366103,347
500,500,8,2,0.405688,347
500,500,8,3,0.3555,347
500,500,16,1,0.316335,347
500,500,16,2,0.332956,347
500,500,16,3,0.332468,347
500,500,32,1,0.297112,347
500,500,32,2,0.287803,347
500,500,32,3,0.310027,347
500,500,64,1,0.289658,347
500,500,64,2,0.506159,347
500,500,64,3,0.281045,347
500,500,128,1,0.310938,347
500,500,128,2,0.31226,347
500,500,128,3,0.298907,347
500,500,192,1,0.257692,347
500,500,192,2,0.293449,347
500,500,192,3,0.284537,347
500,500,256,1,0.292294,347
500,500,256,2,0.299548,347
500,500,256,3,0.291626,347
500,500,384,1,0.28797,347
500,500,384,2,0.280124,347
500,500,384,3,0.348245,347
500,500,512,1,0.322039,347
500,500,512,2,0.30248,347
500,500,512,3,0.303353,347
500,500,640,1,0.296613,347
500,500,640,2,0.29683,347
500,500,640,3,0.494577,347
500,500,768,1,0.267853,347
500,500,768,2,0.293819,347
500,500,768,3,0.309611,347
500,500,896,1,0.257926,347
500,500,896,2,0.285665,347
500,500,896,3,0.256391,347
500,500,1024,1,0.27543,347
500,500,1024,2,0.270606,347
500,500,1024,3,0.277293,347
