nx,ny,threadsPerBlock,repetition,time(s),iterations
200,200,1,1,0.0639263,183
200,200,1,2,0.0647101,183
200,200,1,3,0.0643075,183
200,200,2,1,0.0372587,183
200,200,2,2,0.037021,183
200,200,2,3,0.0370685,183
200,200,4,1,0.0274115,183
200,200,4,2,0.0274737,183
200,200,4,3,0.0275792,183
200,200,8,1,0.0217579,183
200,200,8,2,0.0218513,183
200,200,8,3,0.0219015,183
200,200,16,1,0.02022,183
200,200,16,2,0.0202038,183
200,200,16,3,0.0201749,183
200,200,32,1,0.0184729,183
200,200,32,2,0.0182798,183
200,200,32,3,0.0182086,183
200,200,64,1,0.0179959,183
200,200,64,2,0.0183203,183
200,200,64,3,0.0181345,183
200,200,128,1,0.0169729,183
200,200,128,2,0.016942,183
200,200,128,3,0.0169815,183
200,200,192,1,0.0171136,183
200,200,192,2,0.0170396,183
200,200,192,3,0.0170433,183
200,200,256,1,0.0171843,183
200,200,256,2,0.0172972,183
200,200,256,3,0.0172534,183
200,200,384,1,0.0172054,183
200,200,384,2,0.0171606,183
200,200,384,3,0.0172562,183
200,200,512,1,0.0173912,183
200,200,512,2,0.0171398,183
200,200,512,3,0.0174109,183
200,200,640,1,0.0173776,183
200,200,640,2,0.0175003,183
200,200,640,3,0.0173763,183
200,200,768,1,0.0174742,183
200,200,768,2,0.0176639,183
200,200,768,3,0.017711,183
200,200,896,1,0.0177919,182
200,200,896,2,0.0176887,182
200,200,896,3,0.0175588,182
200,200,1024,1,0.0179842,183
200,200,1024,2,0.0180445,183
200,200,1024,3,0.017976,183
