nx,ny,threadsPerBlock,repetition,time(s),iterations
500,500,1,1,0.560387,347
500,500,1,2,0.559396,347
500,500,1,3,0.559846,347
500,500,2,1,0.310113,347
500,500,2,2,0.310313,347
500,500,2,3,0.310423,347
500,500,4,1,0.207691,347
500,500,4,2,0.207664,347
500,500,4,3,0.207488,347
500,500,8,1,0.167423,347
500,500,8,2,0.167751,347
500,500,8,3,0.167903,347
500,500,16,1,0.143879,347
500,500,16,2,0.143719,347
500,500,16,3,0.143745,347
500,500,32,1,0.115139,347
500,500,32,2,0.114598,347
500,500,32,3,0.114878,347
500,500,64,1,0.106949,347
500,500,64,2,0.107214,347
500,500,64,3,0.10689,347
500,500,128,1,0.108156,347
500,500,128,2,0.108162,347
500,500,128,3,0.107791,347
500,500,192,1,0.109615,347
500,500,192,2,0.111283,347
500,500,192,3,0.109768,347
500,500,256,1,0.102664,347
500,500,256,2,0.102916,347
500,500,256,3,0.103081,347
500,500,384,1,0.10091,347
500,500,384,2,0.100889,347
500,500,384,3,0.100765,347
500,500,512,1,0.0979246,347
500,500,512,2,0.0980948,347
500,500,512,3,0.0980898,347
500,500,640,1,0.10005,347
500,500,640,2,0.0997763,347
500,500,640,3,0.0995235,347
500,500,768,1,0.0970639,347
500,500,768,2,0.0973971,347
500,500,768,3,0.0977316,347
500,500,896,1,0.0897376,347
500,500,896,2,0.0897467,347
500,500,896,3,0.0900135,347
500,500,1024,1,0.0906958,347
500,500,1024,2,0.0902161,347
500,500,1024,3,0.0903437,347
