nx,ny,threadsPerBlock,repetition,time(s),iterations
100,100,1,1,0.0181931,88
100,100,1,2,0.0181699,88
100,100,1,3,0.018327,88
100,100,2,1,0.0127593,88
100,100,2,2,0.0128511,88
100,100,2,3,0.0125856,88
100,100,4,1,0.0106488,88
100,100,4,2,0.0107238,88
100,100,4,3,0.0112131,88
100,100,8,1,0.00981114,88
100,100,8,2,0.00988649,88
100,100,8,3,0.00987809,88
100,100,16,1,0.00929471,88
100,100,16,2,0.00913689,88
100,100,16,3,0.00928947,88
100,100,32,1,0.00915387,88
100,100,32,2,0.00925382,88
100,100,32,3,0.00917954,88
100,100,64,1,0.00907709,88
100,100,64,2,0.00873857,88
100,100,64,3,0.00879411,88
100,100,128,1,0.00875408,88
100,100,128,2,0.00873485,88
100,100,128,3,0.00865965,88
100,100,192,1,0.00865118,87
100,100,192,2,0.0086658,87
100,100,192,3,0.00871575,87
100,100,256,1,0.00878126,88
100,100,256,2,0.00871703,88
100,100,256,3,0.00882812,88
100,100,384,1,0.00881209,87
100,100,384,2,0.00875076,87
100,100,384,3,0.00880795,87
100,100,512,1,0.0088925,88
100,100,512,2,0.00893951,88
100,100,512,3,0.00893409,88
100,100,640,1,0.008931,87
100,100,640,2,0.00879909,87
100,100,640,3,0.00888497,87
100,100,768,1,0.00894293,87
100,100,768,2,0.00891268,87
100,100,768,3,0.0091462,87
100,100,896,1,0.0090461,87
100,100,896,2,0.00911277,87
100,100,896,3,0.00910592,87
100,100,1024,1,0.00920864,88
100,100,1024,2,0.00920658,88
100,100,1024,3,0.00930249,88
