nx,ny,threadsPerBlock,repetition,time(s),iterations
1000,1000,1,1,5.91398,999
1000,1000,1,2,5.91402,999
1000,1000,1,3,5.99604,999
1000,1000,2,1,3.10253,999
1000,1000,2,2,3.15885,999
1000,1000,2,3,3.18023,999
1000,1000,4,1,1.89689,999
1000,1000,4,2,1.8977,999
1000,1000,4,3,1.89793,999
1000,1000,8,1,1.53367,999
1000,1000,8,2,1.47675,999
1000,1000,8,3,1.53197,999
1000,1000,16,1,1.20751,999
1000,1000,16,2,1.20423,999
1000,1000,16,3,1.2027,999
1000,1000,32,1,1.02667,999
1000,1000,32,2,1.02654,999
1000,1000,32,3,1.02638,999
1000,1000,64,1,0.934816,999
1000,1000,64,2,0.934919,999
1000,1000,64,3,0.926362,999
1000,1000,128,1,0.904897,999
1000,1000,128,2,0.906581,999
1000,1000,128,3,0.905627,999
1000,1000,192,1,0.895964,998
1000,1000,192,2,0.893498,998
1000,1000,192,3,0.89714,998
1000,1000,256,1,0.877506,999
1000,1000,256,2,0.878585,999
1000,1000,256,3,0.877386,999
1000,1000,384,1,0.871388,998
1000,1000,384,2,0.87302,998
1000,1000,384,3,0.868445,998
1000,1000,512,1,0.84289,999
1000,1000,512,2,0.845089,999
1000,1000,512,3,0.844379,999
1000,1000,640,1,0.861914,998
1000,1000,640,2,0.865328,998
1000,1000,640,3,0.861918,998
1000,1000,768,1,0.854204,998
1000,1000,768,2,0.853112,998
1000,1000,768,3,0.853519,998
1000,1000,896,1,0.820664,997
1000,1000,896,2,0.820844,997
1000,1000,896,3,0.82035,997
1000,1000,1024,1,0.811308,999
1000,1000,1024,2,0.810139,999
1000,1000,1024,3,0.811229,999
