nx,ny,threadsPerBlock,repetition,time(s),iterations
500,500,1,1,2.1158,972
500,500,1,2,33.3354,13534
500,500,1,3,2.26792,888
500,500,2,1,0.937715,720
500,500,2,2,0.954854,749
500,500,2,3,1.35777,838
500,500,4,1,0.901011,717
500,500,4,2,0.808316,830
500,500,4,3,0.845974,862
500,500,8,1,0.650274,740
500,500,8,2,1.09613,1193
500,500,8,3,0.719304,850
500,500,16,1,1.05284,1274
500,500,16,2,0.687364,808
500,500,16,3,0.987837,874
500,500,32,1,0.495904,595
500,500,32,2,0.398947,555
500,500,32,3,0.382193,531
500,500,64,1,0.47373,531
500,500,64,2,0.564399,748
500,500,64,3,0.421953,555
500,500,128,1,0.535135,555
500,500,128,2,0.419698,642
500,500,128,3,0.350994,519
500,500,192,1,0.383881,555
500,500,192,2,0.420145,555
500,500,192,3,0.58144,795
500,500,256,1,0.478835,567
500,500,256,2,0.402525,595
500,500,256,3,0.440949,661
500,500,384,1,0.58781,837
500,500,384,2,0.669496,1035
500,500,384,3,0.566862,843
500,500,512,1,0.391095,619
500,500,512,2,0.551911,868
500,500,512,3,0.481532,619
500,500,640,1,0.522664,753
500,500,640,2,0.484039,763
500,500,640,3,0.702382,1136
500,500,768,1,0.520251,630
500,500,768,2,2.38523,2675
500,500,768,3,1.75006,2504
500,500,896,1,0.676943,1109
500,500,896,2,0.551491,895
500,500,896,3,0.457828,788
500,500,1024,1,0.454129,690
500,500,1024,2,0.803119,1115
500,500,1024,3,0.401062,663
