nx,ny,threadsPerBlock,repetition,time(s),iterations
200,200,1,1,0.0496264,139
200,200,1,2,0.0495362,139
200,200,1,3,0.0492017,139
200,200,2,1,0.0289653,139
200,200,2,2,0.0291501,139
200,200,2,3,0.0289662,139
200,200,4,1,0.0217259,139
200,200,4,2,0.0216257,139
200,200,4,3,0.0215782,139
200,200,8,1,0.017384,139
200,200,8,2,0.017837,139
200,200,8,3,0.0174127,139
200,200,16,1,0.0160375,139
200,200,16,2,0.0164744,139
200,200,16,3,0.0160041,139
200,200,32,1,0.0147395,139
200,200,32,2,0.0145787,139
200,200,32,3,0.0147096,139
200,200,64,1,0.0145184,139
200,200,64,2,0.0144893,139
200,200,64,3,0.0145711,139
200,200,128,1,0.0135609,139
200,200,128,2,0.0135866,139
200,200,128,3,0.013622,139
200,200,192,1,0.0139612,139
200,200,192,2,0.0137092,139
200,200,192,3,0.0137445,139
200,200,256,1,0.0136915,139
200,200,256,2,0.0137595,139
200,200,256,3,0.0137,139
200,200,384,1,0.0137305,139
200,200,384,2,0.013848,139
200,200,384,3,0.0137241,139
200,200,512,1,0.0137472,139
200,200,512,2,0.0141881,139
200,200,512,3,0.0138375,139
200,200,640,1,0.0138345,139
200,200,640,2,0.0142408,139
200,200,640,3,0.0138706,139
200,200,768,1,0.0139895,139
200,200,768,2,0.0140061,139
200,200,768,3,0.0141008,139
200,200,896,1,0.0141188,139
200,200,896,2,0.0138951,139
200,200,896,3,0.0140608,139
200,200,1024,1,0.0142228,139
200,200,1024,2,0.0143053,139
200,200,1024,3,0.0142665,139
