nx,ny,threadsPerBlock,repetition,time(s),iterations
2000,2000,1,1,133.313,5898
2000,2000,1,2,132.601,5898
2000,2000,1,3,133.09,5898
2000,2000,2,1,68.3901,5898
2000,2000,2,2,68.3335,5898
2000,2000,2,3,68.5933,5898
2000,2000,4,1,40.3782,5898
2000,2000,4,2,41.077,5898
2000,2000,4,3,39.8598,5898
2000,2000,8,1,30.1286,5898
2000,2000,8,2,30.1634,5898
2000,2000,8,3,30.0742,5898
2000,2000,16,1,22.3055,5898
2000,2000,16,2,22.8854,5898
2000,2000,16,3,22.5142,5898
2000,2000,32,1,18.111,5898
2000,2000,32,2,17.887,5898
2000,2000,32,3,17.7665,5898
2000,2000,64,1,15.6883,5898
2000,2000,64,2,15.652,5898
2000,2000,64,3,15.688,5898
2000,2000,128,1,14.763,5898
2000,2000,128,2,14.7587,5898
2000,2000,128,3,14.8583,5898
2000,2000,192,1,14.5584,5890
2000,2000,192,2,14.5894,5890
2000,2000,192,3,14.6506,5890
2000,2000,256,1,14.2958,5898
2000,2000,256,2,14.1974,5898
2000,2000,256,3,14.2171,5898
2000,2000,384,1,14.1449,5869
2000,2000,384,2,14.1446,5869
2000,2000,384,3,14.1167,5869
2000,2000,512,1,13.8497,5898
2000,2000,512,2,13.9531,5898
2000,2000,512,3,13.9205,5898
2000,2000,640,1,14.1983,5898
2000,2000,640,2,14.0915,5898
2000,2000,640,3,14.1811,5898
2000,2000,768,1,14.5594,5897
2000,2000,768,2,13.8376,5897
2000,2000,768,3,13.9432,5897
2000,2000,896,1,13.6885,5897
2000,2000,896,2,13.56,5897
2000,2000,896,3,13.588,5897
2000,2000,1024,1,13.3169,5898
2000,2000,1024,2,13.385,5898
2000,2000,1024,3,13.3982,5898
