nx,ny,threadsPerBlock,repetition,time(s),iterations
1000,1000,1,1,5.56573,549
1000,1000,1,2,5.34324,553
1000,1000,1,3,5.03086,551
1000,1000,2,1,3.15565,482
1000,1000,2,2,2.86808,482
1000,1000,2,3,3.1781,515
1000,1000,4,1,2.45066,499
1000,1000,4,2,2.14738,483
1000,1000,4,3,2.31254,495
1000,1000,8,1,1.89941,481
1000,1000,8,2,2.1832,464
1000,1000,8,3,1.97168,459
1000,1000,16,1,1.70378,453
1000,1000,16,2,1.90563,460
1000,1000,16,3,2.5269,484
1000,1000,32,1,1.74936,488
1000,1000,32,2,2.0314,490
1000,1000,32,3,1.62352,465
1000,1000,64,1,2.24248,541
1000,1000,64,2,1.77327,492
1000,1000,64,3,2.07143,541
1000,1000,128,1,1.75521,495
1000,1000,128,2,1.70475,493
1000,1000,128,3,2.13822,521
1000,1000,192,1,1.66153,467
1000,1000,192,2,2.04098,471
1000,1000,192,3,1.63493,469
1000,1000,256,1,1.82063,541
1000,1000,256,2,1.9105,491
1000,1000,256,3,1.89297,491
1000,1000,384,1,1.83237,487
1000,1000,384,2,1.67309,494
1000,1000,384,3,1.88825,541
1000,1000,512,1,2.22469,482
1000,1000,512,2,1.89874,525
1000,1000,512,3,1.85014,465
1000,1000,640,1,1.79735,452
1000,1000,640,2,1.93627,578
1000,1000,640,3,2.08959,564
1000,1000,768,1,1.75453,462
1000,1000,768,2,1.64801,483
1000,1000,768,3,1.5761,481
1000,1000,896,1,1.64989,543
1000,1000,896,2,1.63213,486
1000,1000,896,3,1.8616,547
1000,1000,1024,1,1.79434,541
1000,1000,1024,2,1.39999,463
1000,1000,1024,3,1.59013,458
